soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
153143694;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
65882329;0;Allgemeine Dienste;false;0
32853200;8;Finanzwirtschaft;false;0
20669739;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
16926291;7;Verkehrs- und Nachrichtenwesen;false;0
4437226;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
2184372;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2030942;3;Gesundheit, Umwelt, Sport und Erholung;false;0
972207;5;Landwirtschaft und Ernährung;false;0
