soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
185746485;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
94474128;0;Allgemeine Dienste;false;0
26416459;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
23196742;7;Verkehrs- und Nachrichtenwesen;false;0
15417073;8;Finanzwirtschaft;false;0
8093474;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
4394674;3;Gesundheit, Umwelt, Sport und Erholung;false;0
2546822;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
1714143;5;Landwirtschaft und Ernährung;false;0
