soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
173006020;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
81711965;0;Allgemeine Dienste;false;0
30415555;8;Finanzwirtschaft;false;0
24207491;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
21139606;7;Verkehrs- und Nachrichtenwesen;false;0
5481068;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
3548541;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2856494;3;Gesundheit, Umwelt, Sport und Erholung;false;0
1233260;5;Landwirtschaft und Ernährung;false;0
