soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
218309673;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
113937709;0;Allgemeine Dienste;false;0
53390394;8;Finanzwirtschaft;false;0
35555704;7;Verkehrs- und Nachrichtenwesen;false;0
30679685;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
13651917;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
5485590;3;Gesundheit, Umwelt, Sport und Erholung;false;0
4040816;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
1756168;5;Landwirtschaft und Ernährung;false;0
