soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
248485958;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
110061348;0;Allgemeine Dienste;false;0
34658874;8;Finanzwirtschaft;false;0
32211210;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
28835917;7;Verkehrs- und Nachrichtenwesen;false;0
20703041;3;Gesundheit, Umwelt, Sport und Erholung;false;0
15074558;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
3602611;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2157958;5;Landwirtschaft und Ernährung;false;0
