soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
214182610;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
182085456;8;Finanzwirtschaft;false;0
155797503;0;Allgemeine Dienste;false;0
144690356;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
36843610;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
28247791;7;Verkehrs- und Nachrichtenwesen;false;0
21594877;3;Gesundheit, Umwelt, Sport und Erholung;false;0
20889096;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
8166442;5;Landwirtschaft und Ernährung;false;0
