soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
147876162;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
69601905;0;Allgemeine Dienste;false;0
33957114;8;Finanzwirtschaft;false;0
19303814;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
16421026;7;Verkehrs- und Nachrichtenwesen;false;0
4179527;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
2192211;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2007898;3;Gesundheit, Umwelt, Sport und Erholung;false;0
960343;5;Landwirtschaft und Ernährung;false;0
