soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
170486175;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
77807154;0;Allgemeine Dienste;false;0
23934859;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
23117277;8;Finanzwirtschaft;false;0
20818001;7;Verkehrs- und Nachrichtenwesen;false;0
6038929;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
3324027;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2323812;3;Gesundheit, Umwelt, Sport und Erholung;false;0
1249766;5;Landwirtschaft und Ernährung;false;0
