soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
179537219;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
89944555;0;Allgemeine Dienste;false;0
25696475;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
25062061;8;Finanzwirtschaft;false;0
22133611;7;Verkehrs- und Nachrichtenwesen;false;0
5100296;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
3783058;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
3719630;3;Gesundheit, Umwelt, Sport und Erholung;false;0
1423095;5;Landwirtschaft und Ernährung;false;0
