soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
106887507;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
34675825;25;Arbeitsmarktpolitik;false;0
33966123;03;Verteidigung (nur Bund);false;0
23779620;83;Schulden;false;0
15172207;01;Politische Führung und zentrale Verwaltung;false;0
12347535;02;Auswärtige Angelegenheiten;false;0
11689406;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
8786413;72;Straßen;false;0
8373859;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
6500900;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
5853090;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5400540;13;Hochschulen;false;0
5348617;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
5126451;04;Öffentliche Sicherheit und Ordnung;false;0
4444606;06;Finanzverwaltung;false;0
3647861;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2138643;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1808663;41;Wohnungswesen, Wohnungsbauprämie;false;0
1706688;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1586687;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1512646;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1411680;21;Verwaltung für soziale Angelegenheiten;false;0
1388746;69;Regionale Fördermaßnahmen;false;0
1229003;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1102107;79;Sonstiges Verkehrswesen;false;0
1040596;52;Landwirtschaft und Ernährung;false;0
877485;33;Umwelt- und Naturschutz;false;0
841997;29;Sonstige soziale Angelegenheiten;false;0
751352;82;Steuern und Finanzzuweisungen;false;0
743428;18;Kultur und Religion;false;0
690025;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
620194;31;Gesundheitswesen;false;0
604111;34;Reaktorsicherheit und Strahlenschutz;false;0
603311;64;Energie- und Wasserversorgung, Entsorgung;false;0
565442;84;Beihilfen, Unterstützungen u.ä.;false;0
516542;75;Luftfahrt;false;0
514832;05;Rechtsschutz;false;0
424377;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
390610;86;Sonstiges;false;0
369394;65;Handel und Tourismus;false;0
365356;15;Sonstiges Bildungswesen;false;0
311266;77;Nachrichtenwesen;false;0
230000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
209857;32;Sport und Erholung;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
124034;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
91234;19;Kultur und Religion;false;0
40136;66;Geld- und Versicherungswesen;false;0
23181;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
20245;11;Allgemeinbildende und berufliche Schulen;false;0
3224;12;Allgemeinbildende und berufliche Schulen;false;0
3000;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
2700;53;Forstwirtschaft und Jagd, Fischerei;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
-88352;88;Globalposten;false;0
