soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
137840825;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
58346361;03;Verteidigung (nur Bund);false;0
47322537;25;Arbeitsmarktpolitik;false;0
37444552;83;Schulden;false;0
23410682;01;Politische Führung und zentrale Verwaltung;false;0
21320113;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
17883559;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
17594508;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
17252054;02;Auswärtige Angelegenheiten;false;0
14571186;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
10927180;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
9523500;72;Straßen;false;0
7266113;04;Öffentliche Sicherheit und Ordnung;false;0
6932672;06;Finanzverwaltung;false;0
5222341;13;Hochschulen;false;0
4447255;69;Regionale Fördermaßnahmen;false;0
4337844;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
4154719;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
3515255;79;Sonstiges Verkehrswesen;false;0
3339681;64;Energie- und Wasserversorgung, Entsorgung;false;0
3111183;21;Verwaltung für soziale Angelegenheiten;false;0
2745296;41;Wohnungswesen, Wohnungsbauprämie;false;0
2312681;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
2212557;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
2120575;31;Gesundheitswesen;false;0
1832656;29;Sonstige soziale Angelegenheiten;false;0
1726916;52;Landwirtschaft und Ernährung;false;0
1601435;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1570783;33;Umwelt- und Naturschutz;false;0
1519589;34;Reaktorsicherheit und Strahlenschutz;false;0
1498073;18;Kultur und Religion;false;0
1295520;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
1256840;12;Allgemeinbildende und berufliche Schulen;false;0
1004693;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
845825;84;Beihilfen, Unterstützungen u.ä.;false;0
729827;05;Rechtsschutz;false;0
592039;15;Sonstiges Bildungswesen;false;0
419050;77;Nachrichtenwesen;false;0
400348;75;Luftfahrt;false;0
391425;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
359510;86;Sonstiges;false;0
274643;32;Sport und Erholung;false;0
238352;82;Steuern und Finanzzuweisungen;false;0
192322;65;Handel und Tourismus;false;0
178537;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
170000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
164710;66;Geld- und Versicherungswesen;false;0
151702;19;Kultur und Religion;false;0
27207;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
26338;11;Allgemeinbildende und berufliche Schulen;false;0
2045;53;Forstwirtschaft und Jagd, Fischerei;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
-6817958;88;Globalposten;false;0
