soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
102103846;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
33294242;25;Arbeitsmarktpolitik;false;0
32496411;03;Verteidigung (nur Bund);false;0
25603709;83;Schulden;false;0
14100201;01;Politische Führung und zentrale Verwaltung;false;0
11059556;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
10095167;02;Auswärtige Angelegenheiten;false;0
7914499;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
7610084;72;Straßen;false;0
5946065;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
5622810;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
4970520;13;Hochschulen;false;0
4960617;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
4504095;04;Öffentliche Sicherheit und Ordnung;false;0
4209541;06;Finanzverwaltung;false;0
3498842;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2143351;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1920803;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1632874;41;Wohnungswesen, Wohnungsbauprämie;false;0
1500524;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1243881;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1122970;79;Sonstiges Verkehrswesen;false;0
943558;52;Landwirtschaft und Ernährung;false;0
819352;82;Steuern und Finanzzuweisungen;false;0
778072;29;Sonstige soziale Angelegenheiten;false;0
739906;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
705758;18;Kultur und Religion;false;0
668031;33;Umwelt- und Naturschutz;false;0
619185;69;Regionale Fördermaßnahmen;false;0
614608;31;Gesundheitswesen;false;0
608235;21;Verwaltung für soziale Angelegenheiten;false;0
596646;34;Reaktorsicherheit und Strahlenschutz;false;0
574807;84;Beihilfen, Unterstützungen u.ä.;false;0
547498;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
522027;64;Energie- und Wasserversorgung, Entsorgung;false;0
476914;05;Rechtsschutz;false;0
387620;86;Sonstiges;false;0
371078;65;Handel und Tourismus;false;0
355384;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
325979;15;Sonstiges Bildungswesen;false;0
295885;77;Nachrichtenwesen;false;0
276026;75;Luftfahrt;false;0
151657;32;Sport und Erholung;false;0
94431;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
85188;19;Kultur und Religion;false;0
45000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
41100;66;Geld- und Versicherungswesen;false;0
25199;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
20672;11;Allgemeinbildende und berufliche Schulen;false;0
4000;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
3450;53;Forstwirtschaft und Jagd, Fischerei;false;0
3224;12;Allgemeinbildende und berufliche Schulen;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
0;27;Kindertagesbetreuung nach dem SGB VIII;false;0
-155098;88;Globalposten;false;0
