soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
119248815;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
42649479;03;Verteidigung (nur Bund);false;0
37631136;25;Arbeitsmarktpolitik;false;0
19038517;01;Politische Führung und zentrale Verwaltung;false;0
17532736;83;Schulden;false;0
16113761;02;Auswärtige Angelegenheiten;false;0
14444142;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
10789845;72;Straßen;false;0
9191286;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
7215420;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
6267307;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
6199542;04;Öffentliche Sicherheit und Ordnung;false;0
5770898;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5361108;13;Hochschulen;false;0
5329430;06;Finanzverwaltung;false;0
4062104;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2785042;41;Wohnungswesen, Wohnungsbauprämie;false;0
2360815;21;Verwaltung für soziale Angelegenheiten;false;0
2097626;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1830306;82;Steuern und Finanzzuweisungen;false;0
1593439;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1475971;33;Umwelt- und Naturschutz;false;0
1402956;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1398358;52;Landwirtschaft und Ernährung;false;0
1383230;79;Sonstiges Verkehrswesen;false;0
1352295;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1304214;69;Regionale Fördermaßnahmen;false;0
1227009;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1169655;34;Reaktorsicherheit und Strahlenschutz;false;0
1165554;18;Kultur und Religion;false;0
997475;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
869766;29;Sonstige soziale Angelegenheiten;false;0
845136;31;Gesundheitswesen;false;0
680879;64;Energie- und Wasserversorgung, Entsorgung;false;0
678717;84;Beihilfen, Unterstützungen u.ä.;false;0
622355;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
613826;05;Rechtsschutz;false;0
447763;15;Sonstiges Bildungswesen;false;0
409550;86;Sonstiges;false;0
388145;75;Luftfahrt;false;0
359350;77;Nachrichtenwesen;false;0
300000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
228868;32;Sport und Erholung;false;0
186552;19;Kultur und Religion;false;0
157132;65;Handel und Tourismus;false;0
145572;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
57534;66;Geld- und Versicherungswesen;false;0
26338;11;Allgemeinbildende und berufliche Schulen;false;0
22037;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
2914;12;Allgemeinbildende und berufliche Schulen;false;0
2700;53;Forstwirtschaft und Jagd, Fischerei;false;0
541;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
-1160146;88;Globalposten;false;0
