soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
111943174;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
37056877;25;Arbeitsmarktpolitik;false;0
36620432;03;Verteidigung (nur Bund);false;0
18470989;83;Schulden;false;0
16326411;01;Politische Führung und zentrale Verwaltung;false;0
13949068;02;Auswärtige Angelegenheiten;false;0
12729219;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
9154078;72;Straßen;false;0
8275379;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
7130900;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
6420117;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
5778718;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5735481;13;Hochschulen;false;0
5729542;04;Öffentliche Sicherheit und Ordnung;false;0
4560308;06;Finanzverwaltung;false;0
3976831;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2377752;41;Wohnungswesen, Wohnungsbauprämie;false;0
2111149;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
2101065;21;Verwaltung für soziale Angelegenheiten;false;0
1678542;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1616125;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1584576;69;Regionale Fördermaßnahmen;false;0
1546461;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1434972;79;Sonstiges Verkehrswesen;false;0
1224091;52;Landwirtschaft und Ernährung;false;0
1203184;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
944775;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
894935;18;Kultur und Religion;false;0
843132;29;Sonstige soziale Angelegenheiten;false;0
801634;33;Umwelt- und Naturschutz;false;0
768670;82;Steuern und Finanzzuweisungen;false;0
709447;31;Gesundheitswesen;false;0
650118;34;Reaktorsicherheit und Strahlenschutz;false;0
636099;64;Energie- und Wasserversorgung, Entsorgung;false;0
621393;05;Rechtsschutz;false;0
592764;75;Luftfahrt;false;0
580763;84;Beihilfen, Unterstützungen u.ä.;false;0
578499;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
446000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
431190;86;Sonstiges;false;0
416091;15;Sonstiges Bildungswesen;false;0
358905;65;Handel und Tourismus;false;0
334344;77;Nachrichtenwesen;false;0
162613;32;Sport und Erholung;false;0
151702;19;Kultur und Religion;false;0
131236;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
40527;66;Geld- und Versicherungswesen;false;0
27976;11;Allgemeinbildende und berufliche Schulen;false;0
20975;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
4700;53;Forstwirtschaft und Jagd, Fischerei;false;0
2624;12;Allgemeinbildende und berufliche Schulen;false;0
1500;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
-2913053;88;Globalposten;false;0
