soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
99690678;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
32365647;03;Verteidigung (nur Bund);false;0
31399610;25;Arbeitsmarktpolitik;false;0
27620743;83;Schulden;false;0
14450647;02;Auswärtige Angelegenheiten;false;0
13948855;01;Politische Führung und zentrale Verwaltung;false;0
10598103;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
7434626;72;Straßen;false;0
7342560;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
5675021;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5466600;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
4946714;13;Hochschulen;false;0
4552537;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
4354621;04;Öffentliche Sicherheit und Ordnung;false;0
4004028;06;Finanzverwaltung;false;0
2708347;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2300351;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1784999;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1680122;41;Wohnungswesen, Wohnungsbauprämie;false;0
1621119;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1368811;79;Sonstiges Verkehrswesen;false;0
1005193;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
932414;52;Landwirtschaft und Ernährung;false;0
765593;29;Sonstige soziale Angelegenheiten;false;0
693352;82;Steuern und Finanzzuweisungen;false;0
671131;33;Umwelt- und Naturschutz;false;0
655949;18;Kultur und Religion;false;0
630335;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
604579;34;Reaktorsicherheit und Strahlenschutz;false;0
602687;69;Regionale Fördermaßnahmen;false;0
596985;31;Gesundheitswesen;false;0
576923;84;Beihilfen, Unterstützungen u.ä.;false;0
556912;21;Verwaltung für soziale Angelegenheiten;false;0
507589;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
478107;05;Rechtsschutz;false;0
427901;64;Energie- und Wasserversorgung, Entsorgung;false;0
375813;65;Handel und Tourismus;false;0
354873;75;Luftfahrt;false;0
353858;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
294845;77;Nachrichtenwesen;false;0
281269;15;Sonstiges Bildungswesen;false;0
237620;86;Sonstiges;false;0
135203;32;Sport und Erholung;false;0
92179;19;Kultur und Religion;false;0
80372;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
41442;66;Geld- und Versicherungswesen;false;0
25000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
24479;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
18629;11;Allgemeinbildende und berufliche Schulen;false;0
4500;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
3450;53;Forstwirtschaft und Jagd, Fischerei;false;0
2624;12;Allgemeinbildende und berufliche Schulen;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
0;27;Kindertagesbetreuung nach dem SGB VIII;false;0
-846545;88;Globalposten;false;0
