soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
136460653;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
121222413;64;Energie- und Wasserversorgung, Entsorgung;false;0
109800893;85;Rücklagen;false;0
60414538;03;Verteidigung (nur Bund);false;0
57981521;02;Auswärtige Angelegenheiten;false;0
44541919;83;Schulden;false;0
44350706;25;Arbeitsmarktpolitik;false;0
28800150;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
22472272;01;Politische Führung und zentrale Verwaltung;false;0
21882952;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
19488118;41;Wohnungswesen, Wohnungsbauprämie;false;0
14983856;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
13568747;33;Umwelt- und Naturschutz;false;0
11095002;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
9478513;72;Straßen;false;0
9074800;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
8089258;52;Landwirtschaft und Ernährung;false;0
7429897;04;Öffentliche Sicherheit und Ordnung;false;0
6898526;66;Geld- und Versicherungswesen;false;0
6765528;06;Finanzverwaltung;false;0
6246281;31;Gesundheitswesen;false;0
5953868;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
5646268;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
5116448;69;Regionale Fördermaßnahmen;false;0
5079692;13;Hochschulen;false;0
5006008;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
4116330;29;Sonstige soziale Angelegenheiten;false;0
3364819;79;Sonstiges Verkehrswesen;false;0
2398115;21;Verwaltung für soziale Angelegenheiten;false;0
2261665;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1797140;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1756880;12;Allgemeinbildende und berufliche Schulen;false;0
1550391;18;Kultur und Religion;false;0
1546120;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1485009;34;Reaktorsicherheit und Strahlenschutz;false;0
1400978;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
733747;05;Rechtsschutz;false;0
718878;84;Beihilfen, Unterstützungen u.ä.;false;0
715422;15;Sonstiges Bildungswesen;false;0
549067;75;Luftfahrt;false;0
536485;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
501527;86;Sonstiges;false;0
417130;77;Nachrichtenwesen;false;0
294840;32;Sport und Erholung;false;0
294016;82;Steuern und Finanzzuweisungen;false;0
179607;19;Kultur und Religion;false;0
178520;65;Handel und Tourismus;false;0
166413;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
148160;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
49447;53;Forstwirtschaft und Jagd, Fischerei;false;0
32398;11;Allgemeinbildende und berufliche Schulen;false;0
27737;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;27;Kindertagesbetreuung nach dem SGB VIII;false;0
-2571927;88;Globalposten;false;0
