soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
123243381;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
44698986;03;Verteidigung (nur Bund);false;0
38279810;25;Arbeitsmarktpolitik;false;0
20150436;01;Politische Führung und zentrale Verwaltung;false;0
16748547;02;Auswärtige Angelegenheiten;false;0
15010019;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
12565806;83;Schulden;false;0
10298905;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
9444776;72;Straßen;false;0
8886684;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
7762405;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
6734939;04;Öffentliche Sicherheit und Ordnung;false;0
5884975;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5481541;06;Finanzverwaltung;false;0
4916914;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
4627130;13;Hochschulen;false;0
2797194;69;Regionale Fördermaßnahmen;false;0
2372705;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
2344266;21;Verwaltung für soziale Angelegenheiten;false;0
1946836;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1737908;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1680256;52;Landwirtschaft und Ernährung;false;0
1630091;33;Umwelt- und Naturschutz;false;0
1584214;34;Reaktorsicherheit und Strahlenschutz;false;0
1484075;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1410722;41;Wohnungswesen, Wohnungsbauprämie;false;0
1390397;79;Sonstiges Verkehrswesen;false;0
1311551;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1231560;18;Kultur und Religion;false;0
1136100;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
941452;29;Sonstige soziale Angelegenheiten;false;0
908123;31;Gesundheitswesen;false;0
684116;64;Energie- und Wasserversorgung, Entsorgung;false;0
681043;84;Beihilfen, Unterstützungen u.ä.;false;0
659679;05;Rechtsschutz;false;0
629430;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
467461;15;Sonstiges Bildungswesen;false;0
444680;86;Sonstiges;false;0
375531;82;Steuern und Finanzzuweisungen;false;0
373950;77;Nachrichtenwesen;false;0
305309;75;Luftfahrt;false;0
300000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
272246;32;Sport und Erholung;false;0
166581;65;Handel und Tourismus;false;0
166319;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
125956;19;Kultur und Religion;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
43651;66;Geld- und Versicherungswesen;false;0
34805;11;Allgemeinbildende und berufliche Schulen;false;0
27387;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
6500;53;Forstwirtschaft und Jagd, Fischerei;false;0
2614;12;Allgemeinbildende und berufliche Schulen;false;0
0;85;Rücklagen;false;0
0;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
0;89;Haushaltstechnische Verrechnungen;false;0
-4534962;88;Globalposten;false;0
