soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
130769304;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
52300222;03;Verteidigung (nur Bund);false;0
50952229;29;Sonstige soziale Angelegenheiten;false;0
41233277;25;Arbeitsmarktpolitik;false;0
23393095;01;Politische Führung und zentrale Verwaltung;false;0
20264219;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
19303758;02;Auswärtige Angelegenheiten;false;0
17601083;31;Gesundheitswesen;false;0
16233851;83;Schulden;false;0
11729123;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
11587395;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
9451691;72;Straßen;false;0
9238654;86;Sonstiges;false;0
8512228;82;Steuern und Finanzzuweisungen;false;0
8375800;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
8079977;04;Öffentliche Sicherheit und Ordnung;false;0
6423836;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
6310248;06;Finanzverwaltung;false;0
4912286;13;Hochschulen;false;0
4483937;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
4112259;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
3999276;64;Energie- und Wasserversorgung, Entsorgung;false;0
3194072;79;Sonstiges Verkehrswesen;false;0
2920081;69;Regionale Fördermaßnahmen;false;0
2412572;21;Verwaltung für soziale Angelegenheiten;false;0
2309540;66;Geld- und Versicherungswesen;false;0
2183466;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
2181913;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
2158742;41;Wohnungswesen, Wohnungsbauprämie;false;0
2118340;52;Landwirtschaft und Ernährung;false;0
1569126;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1443869;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
1443440;18;Kultur und Religion;false;0
1438238;33;Umwelt- und Naturschutz;false;0
1300448;34;Reaktorsicherheit und Strahlenschutz;false;0
1260851;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
891100;15;Sonstiges Bildungswesen;false;0
831740;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
717574;84;Beihilfen, Unterstützungen u.ä.;false;0
674048;05;Rechtsschutz;false;0
437367;75;Luftfahrt;false;0
412800;77;Nachrichtenwesen;false;0
363272;32;Sport und Erholung;false;0
183010;19;Kultur und Religion;false;0
174972;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
172579;65;Handel und Tourismus;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
26338;11;Allgemeinbildende und berufliche Schulen;false;0
25618;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
14000;53;Forstwirtschaft und Jagd, Fischerei;false;0
6880;12;Allgemeinbildende und berufliche Schulen;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
0;27;Kindertagesbetreuung nach dem SGB VIII;false;0
-6467269;88;Globalposten;false;0
