soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
134149136;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
48275886;29;Sonstige soziale Angelegenheiten;false;0
47019271;03;Verteidigung (nur Bund);false;0
45359557;25;Arbeitsmarktpolitik;false;0
26675597;88;Globalposten;false;0
22706622;01;Politische Führung und zentrale Verwaltung;false;0
19466967;02;Auswärtige Angelegenheiten;false;0
18206550;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
16321418;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
11391757;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
10885757;31;Gesundheitswesen;false;0
9814928;72;Straßen;false;0
8336096;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
8132218;04;Öffentliche Sicherheit und Ordnung;false;0
7298062;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
6194121;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
5922462;06;Finanzverwaltung;false;0
5787159;83;Schulden;false;0
5162201;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
4839497;13;Hochschulen;false;0
3088264;82;Steuern und Finanzzuweisungen;false;0
2968104;69;Regionale Fördermaßnahmen;false;0
2844838;79;Sonstiges Verkehrswesen;false;0
2582209;52;Landwirtschaft und Ernährung;false;0
2268955;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
2217552;21;Verwaltung für soziale Angelegenheiten;false;0
1830863;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1675263;41;Wohnungswesen, Wohnungsbauprämie;false;0
1490951;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1416745;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1331743;18;Kultur und Religion;false;0
1296887;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
1290750;34;Reaktorsicherheit und Strahlenschutz;false;0
1269664;66;Geld- und Versicherungswesen;false;0
1262579;33;Umwelt- und Naturschutz;false;0
1250598;64;Energie- und Wasserversorgung, Entsorgung;false;0
1009402;15;Sonstiges Bildungswesen;false;0
855088;75;Luftfahrt;false;0
736959;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
663355;05;Rechtsschutz;false;0
653562;84;Beihilfen, Unterstützungen u.ä.;false;0
500000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
495820;86;Sonstiges;false;0
483886;32;Sport und Erholung;false;0
399500;77;Nachrichtenwesen;false;0
227211;19;Kultur und Religion;false;0
192610;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
184821;65;Handel und Tourismus;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
27338;11;Allgemeinbildende und berufliche Schulen;false;0
24841;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
5380;12;Allgemeinbildende und berufliche Schulen;false;0
4000;53;Forstwirtschaft und Jagd, Fischerei;false;0
0;85;Rücklagen;false;0
0;89;Haushaltstechnische Verrechnungen;false;0
