einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
60;Allgemeine Finanzverwaltung;E;Übrige Einnahmen;6002;Allgemeine Bewilligungen;37103;880;Globale Mehreinnahme; ;-;25000000;4;0;;
60;Allgemeine Finanzverwaltung;A;Zuweisungen und Zuschüsse (ohne Investitionen);6002;Allgemeine Bewilligungen;61401;820;Zuweisung an den Energie- und Klimafonds;nein;28;62479321;4;2479321;;
60;Allgemeine Finanzverwaltung;A;Besondere Finanzierungsausgaben;6002;Allgemeine Bewilligungen;97201;880;Globale Minderausgabe;nein;35;-41000000;4;-6000000;;
