einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57501;830;Zinsen für Bundesanleihen;nein;9;16851044;4;20351044;;
60;Allgemeine Finanzverwaltung;A;Ausgaben für Investitionen;6002;Allgemeine Bewilligungen;88401;813;"Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""";nein;32;3500000;4;0;;
