soll;funktion;Hauptfunktion
147876162;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
69601905;0;Allgemeine Dienste
33957114;8;Finanzwirtschaft
19303814;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
16421026;7;Verkehrs- und Nachrichtenwesen
4179527;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
2192211;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
2007898;3;Gesundheit, Umwelt, Sport und Erholung
960343;5;Landwirtschaft und Ernährung
