soll;funktion;Hauptfunktion
184435243;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
40261270;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
38944244;3;Gesundheit, Umwelt, Sport und Erholung
23117277;8;Finanzwirtschaft
20818001;7;Verkehrs- und Nachrichtenwesen
10599237;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
9053569;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
1871159;5;Landwirtschaft und Ernährung
