soll;funktion;Hauptfunktion
179537219;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
89944555;0;Allgemeine Dienste
25696475;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
25062061;8;Finanzwirtschaft
22133611;7;Verkehrs- und Nachrichtenwesen
5100296;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
3783058;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
3719630;3;Gesundheit, Umwelt, Sport und Erholung
1423095;5;Landwirtschaft und Ernährung
