soll;funktion;beschreibung;has_excess;excess_vals
185746485;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;true;69688700
94474128;0;Allgemeine Dienste;true;3554411
26416459;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;true;3899250
23196742;7;Verkehrs- und Nachrichtenwesen;true;5728000
15417073;8;Finanzwirtschaft;true;55000000
8093474;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";true;7299250
4394674;3;Gesundheit, Umwelt, Sport und Erholung;true;20859875
2546822;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";true;29500
1714143;5;Landwirtschaft und Ernährung;true;330000
