soll;funktion;beschreibung;has_excess;excess_vals
214182610;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
108722508;0;Allgemeine Dienste;false;0
55435088;8;Finanzwirtschaft;false;0
33483268;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
28007791;7;Verkehrs- und Nachrichtenwesen;false;0
20979370;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
9436540;3;Gesundheit, Umwelt, Sport und Erholung;false;0
3909167;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2134421;5;Landwirtschaft und Ernährung;false;0
