soll;funktion;beschreibung;has_excess;excess_vals
153143694;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;true;1156960
65882329;0;Allgemeine Dienste;true;771462
32853200;8;Finanzwirtschaft;true;6004578
20669739;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;true;87000
16926291;7;Verkehrs- und Nachrichtenwesen;false;0
4437226;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
2184372;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";true;10000
2030942;3;Gesundheit, Umwelt, Sport und Erholung;true;10000
972207;5;Landwirtschaft und Ernährung;false;0
