soll;funktion;Hauptfunktion
185746485;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
94474128;0;Allgemeine Dienste
26416459;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
23196742;7;Verkehrs- und Nachrichtenwesen
15417073;8;Finanzwirtschaft
8093474;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
4394674;3;Gesundheit, Umwelt, Sport und Erholung
2546822;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
1714143;5;Landwirtschaft und Ernährung
