soll;funktion;Hauptfunktion
153143694;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
65882329;0;Allgemeine Dienste
32853200;8;Finanzwirtschaft
20669739;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
16926291;7;Verkehrs- und Nachrichtenwesen
4437226;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
2184372;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
2030942;3;Gesundheit, Umwelt, Sport und Erholung
972207;5;Landwirtschaft und Ernährung
