soll;funktion;Hauptfunktion
161484788;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
71571754;0;Allgemeine Dienste
31251762;8;Finanzwirtschaft
21961294;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
18880635;7;Verkehrs- und Nachrichtenwesen
5869955;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
2501688;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
2311647;3;Gesundheit, Umwelt, Sport und Erholung
1066477;5;Landwirtschaft und Ernährung
