soll;funktion;Hauptfunktion
170486175;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
77807154;0;Allgemeine Dienste
23934859;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
23117277;8;Finanzwirtschaft
20818001;7;Verkehrs- und Nachrichtenwesen
6038929;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
3324027;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste"
2323812;3;Gesundheit, Umwelt, Sport und Erholung
1249766;5;Landwirtschaft und Ernährung
