soll;funktion;Hauptfunktion
173006020;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
81711965;0;Allgemeine Dienste
30415555;8;Finanzwirtschaft
24207491;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
21139606;7;Verkehrs- und Nachrichtenwesen
5481068;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
3548541;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
2856494;3;Gesundheit, Umwelt, Sport und Erholung
1233260;5;Landwirtschaft und Ernährung
